yyyymm,currency,rate
201203,INR,50.945
201204,INR,52.7
201205,INR,56.1575
201206,INR,55.835
201207,INR,55.615
201208,INR,55.625
201209,INR,52.745
201210,INR,53.795
201211,INR,54.395
201212,INR,54.79
201301,INR,53.19
201302,INR,54.405
201303,INR,54.35
201304,INR,53.875
201305,INR,56.485
201306,INR,59.425
201307,INR,60.805
201308,INR,66.07
201309,INR,62.605
201310,INR,61.455
201311,INR,62.49
201312,INR,61.855
201401,INR,62.655
201402,INR,61.98
201403,INR,59.7225
201404,INR,60.315
201405,INR,59.09
201406,INR,60.145
201407,INR,60.5225
201408,INR,60.68
201409,INR,61.76
201410,INR,61.4
201411,INR,62.055
201412,INR,63.12251
201501,INR,61.935
201502,INR,61.805
201503,INR,62.58125
201504,INR,63.515
201505,INR,63.86625
201506,INR,63.68
201507,INR,64.1182
201508,INR,66.475
201509,INR,65.64
201510,INR,65.345
201511,INR,66.655
201512,INR,66.15625
201601,INR,67.8775
201602,INR,68.425
201603,INR,66.2225
201604,INR,66.33
201605,INR,67.285
201606,INR,67.495
201607,INR,66.985
201608,INR,66.97
201609,INR,66.58
201610,INR,66.7865
201611,INR,68.44895
201612,INR,67.87
201701,INR,67.845
201702,INR,66.71875
201703,INR,64.935
201704,INR,64.33
201705,INR,64.52
201706,INR,64.6375
201707,INR,64.15125
201708,INR,63.92625
201709,INR,65.32
201710,INR,64.77125
201711,INR,64.48
201712,INR,63.8275
201801,INR,63.60375
201802,INR,65.14625
201803,INR,65.22169
201804,INR,66.74
201805,INR,67.4825
201806,INR,68.515
201807,INR,68.58625
201808,INR,70.92625
201809,INR,72.49
201810,INR,73.945
201811,INR,69.695
201812,INR,69.815
201901,INR,71.12
201902,INR,71.12625
201903,INR,69.275
201904,INR,69.55375
201905,INR,69.69125
201906,INR,69.0275
201907,INR,68.785
201908,INR,71.4075
201909,INR,70.8688
201910,INR,70.92875
201911,INR,71.7375
201912,INR,71.37815
202001,INR,71.3575
202002,INR,72.1675
202003,INR,75.65125
202004,INR,75.095
202005,INR,75.61625
202006,INR,75.50375
202007,INR,74.8125
202008,INR,73.6075
202009,INR,73.78
202010,INR,74.1075
202011,INR,74.05625
202012,INR,73.0675
202101,INR,72.96
202102,INR,73.485
202103,INR,73.11375
202104,INR,74.0725
202105,INR,72.6225
202106,INR,74.33
202107,INR,74.415
202108,INR,73.0075
202109,INR,74.2275
202110,INR,74.88125
202111,INR,75.1525
202112,INR,74.33565
202201,INR,74.6225
202202,INR,75.3475
202203,INR,75.775
202204,INR,76.4425
202205,INR,77.63625
202206,INR,78.9725
202207,INR,79.26125
202208,INR,79.45815
202209,INR,81.35125
202210,INR,82.7775
202211,INR,81.43625
202212,INR,82.73
202301,INR,81.92875
202302,INR,82.6675
202303,INR,82.1825
202304,INR,81.83625
202305,INR,82.7319
202306,INR,82.03625
202307,INR,82.24875
202308,INR,82.78625
202309,INR,83.04125
202310,INR,83.25875
202311,INR,83.39375
202312,INR,83.21375
202401,INR,83.04375
202402,INR,82.91625
202403,INR,83.4025
202404,INR,83.43625
202405,INR,83.47125
202406,INR,83.3875
202407,INR,83.72875
202408,INR,83.87125
202409,INR,83.80125
202410,INR,84.08625
202411,INR,84.49625
202412,INR,85.61375
202501,INR,86.61625
202502,INR,87.50375
202503,INR,85.4725
202504,INR,84.48375
202505,INR,85.575
202506,INR,85.76
202507,INR,87.59875
202508,INR,88.22315
202509,INR,88.78875
202510,INR,88.77125
202511,INR,89.4475
202512,INR,89.8794
202601,INR,91.9875
202602,INR,90.97625
202603,INR,94.84875
202604,INR,94.91375
202605,INR,95.0
202606,INR,94.65874
202607,INR,95.415
